id,name,country,mechanic,govt_take_pct_at_75,contractor_npv_musd_at_75,irr_pct_at_75,breakeven_usd
31,East Keta Offshore,Ghana,Concession Agreement,29.73,2990.9,270.6,-1.0
32,"Deepwater Tano, Cape Three Points",Ghana,Concession Agreement,29.73,2990.9,270.6,-1.0
34,East Cape Three Points,Ghana,Concession Agreement,29.73,2990.9,270.6,-1.0
35,Offshore South West Tano,Ghana,Concession Agreement,29.73,2990.9,270.6,-1.0
37,Expanded Shallow Water Tano,Ghana,Concession Agreement,29.73,2990.9,270.6,-1.0
38,Offshore Cape Three Points South,Ghana,Concession Agreement,29.73,2990.9,270.6,-1.0
39,Shallow Water Cape Three Point,Ghana,PSC,49.83,1313.8,107.3,-1.0
40,Onshore Offshore Keta Delta Block,Ghana,Concession Agreement,29.73,2990.9,270.6,-1.0
41,"Model Contract, Concession, 2000",Ghana,Concession Agreement,29.73,2990.9,270.6,-1.0
42,South West Saltpond,Ghana,Concession Agreement,29.73,2990.9,270.6,-1.0
43,South Deepwater Tano Block,Ghana,PSC,49.83,1313.8,107.3,-1.0
44,Deepwater Tano,Ghana,PSC,49.83,1313.8,107.3,-1.0
45,Deepwater Tano,Ghana,Concession Agreement,29.73,2990.9,270.6,-1.0
47,West Cape Three Points Block,Ghana,Concession Agreement,29.73,2990.9,270.6,-1.0
48,Deepwater Cape Three Points West Offshore,Ghana,Concession Agreement,29.73,2990.9,270.6,-1.0
49,Cape Three Points Block 4,Ghana,Concession Agreement,29.73,2990.9,270.6,-1.0
52,Jubilee Field Unit,Ghana,Other,49.83,1313.8,107.3,-1.0
55,West Cape Three Points Block 2,Ghana,Concession Agreement,29.73,2990.9,270.6,-1.0
57,Central Tano Block,Ghana,Concession Agreement,29.73,2990.9,270.6,-1.0
61,Ndian River,Cameroon,Production or Profit Sharing Agreement,50.22,1032.8,,-1.0
62,"Model Contract, National Hydrocarbons Corporation (NHC), PSA, 2007",Cameroon,Production or Profit Sharing Agreement,50.22,1032.8,,-1.0
63,Kombe-Nsepe,Cameroon,Joint Venture Agreement,50.22,1032.8,,-1.0
64,Douala Basin,Cameroon,Production or Profit Sharing Agreement,50.22,1032.8,,-1.0
65,"Model Contract, JVA, 1980",Cameroon,Joint Venture Agreement,50.22,1032.8,,-1.0
66,"Model Contract, Oil and Gas Production Sharing Contract",Cameroon,Production or Profit Sharing Agreement,50.22,1032.8,,-1.0
67,"Sasol Petroleum Mozambique Exploration Limitada, Empresa Nacional de Hidrocarbon",Mozambique,Production or Profit Sharing Agreement,28.04,3134.9,305.8,-1.0
68,Area S6B,Mozambique,Production or Profit Sharing Agreement,28.04,3134.9,305.8,-1.0
69,Area A6E,Mozambique,Production or Profit Sharing Agreement,28.04,3134.9,305.8,-1.0
70,Area A6D,Mozambique,Production or Profit Sharing Agreement,28.04,3134.9,305.8,-1.0
71,Pande,Mozambique,Other,28.04,3134.9,305.8,-1.0
72,Onshore Area A,Mozambique,Production or Profit Sharing Agreement,28.04,3134.9,305.8,-1.0
73,Rovuma Offshore Area 3,Mozambique,Production or Profit Sharing Agreement,28.04,3134.9,305.8,-1.0
74,Area 4,Mozambique,Production or Profit Sharing Agreement,28.04,3134.9,305.8,-1.0
75,"Model Contract, PSA, 2016",Mozambique,Production or Profit Sharing Agreement,28.04,3134.9,305.8,-1.0
76,"Eni Mozambico, Sasol Petroleum Mozambique Exploration Limitada, Empresa Nacional",Mozambique,Production or Profit Sharing Agreement,28.04,3134.9,305.8,-1.0
77,Rovuma Offshore Area 1,Mozambique,Production or Profit Sharing Agreement,28.04,3134.9,305.8,-1.0
78,Rovuma Offshore Area 4,Mozambique,Production or Profit Sharing Agreement,28.04,3134.9,305.8,-1.0
79,Rovuma Onshore Area,Mozambique,Production or Profit Sharing Agreement,28.04,3134.9,305.8,-1.0
80,Area A6G,Mozambique,Production or Profit Sharing Agreement,28.04,3134.9,305.8,-1.0
81,Area S6A,Mozambique,Production or Profit Sharing Agreement,28.04,3134.9,305.8,-1.0
83,Pande,Mozambique,Production or Profit Sharing Agreement,28.04,3134.9,305.8,-1.0
84,"Model Contract, PSA, 2006",Mozambique,Production or Profit Sharing Agreement,28.04,3134.9,305.8,-1.0
85,"ExxonMobil Moçambique Exploration and Production Limitada, RN Zambezi South PTE.",Mozambique,Production or Profit Sharing Agreement,28.04,3134.9,305.8,-1.0
87,"ExxonMobil Moçambique Exploration and Production Limitada, RN Angoche PTE. LTD, ",Mozambique,Production or Profit Sharing Agreement,28.04,3134.9,305.8,-1.0
88,"Empresa Nacional de Hidrocarbonetos E.P., Sasol Petroleum Mozambique Limitada, P",Mozambique,Production or Profit Sharing Agreement,28.04,3134.9,305.8,-1.0
89,"Eni Mozambico S.p.A., Empresa Nacional de Hidrocarbonetos, EP, PSA, 2024",Mozambique,Production or Profit Sharing Agreement,28.04,3134.9,305.8,-1.0
91,Offshore Block 16,Mozambique,Production or Profit Sharing Agreement,28.04,3134.9,305.8,-1.0
92,Area 4 Offshore Rovuma Block,Mozambique,Production or Profit Sharing Agreement,28.04,3134.9,305.8,-1.0
93,"Model Contract, PSA, 2008",Tanzania,PSC,64.89,887.1,350.4,-1.0
94,"Model Contract, PSA, 2010",Tanzania,PSC,64.89,887.1,350.4,-1.0
95,"Model Contract, PSA, 2013",Tanzania,PSC,64.89,887.1,350.4,-1.0
96,"Model Contract, PSA, 2004",Tanzania,PSC,64.89,887.1,350.4,-1.0
97,Block-2,Tanzania,Contract Amendment,64.89,887.1,350.4,-1.0
98,Songo Songo gas to electricity project,Tanzania,Production or Profit Sharing Agreement,64.89,887.1,350.4,-1.0
99,Songo Songo Gas Field,Tanzania,Production or Profit Sharing Agreement,64.89,887.1,350.4,-1.0
100,"Model Contract, PSA, 1995",Tanzania,PSC,64.89,887.1,350.4,-1.0
101,Songo Songo Gas to Electricity Project,Tanzania,Service Contract,64.89,887.1,350.4,-1.0
102,Saint Louis Offshore Profond,Senegal,Production or Profit Sharing Agreement,55.05,1164.6,100.5,-1.0
103,"African Petroleum Senegal Limited, Société des Pétroles du Sénégal, PSA",Senegal,Production or Profit Sharing Agreement,55.05,1164.6,100.5,-1.0
104,Cayar Offshore Profond,Senegal,Production or Profit Sharing Agreement,55.05,1164.6,100.5,-1.0
105,"A-Z Petroleum Products Limited, Société des Pétroles du Sénégal, PSA, 2013",Senegal,Production or Profit Sharing Agreement,55.05,1164.6,100.5,-1.0
106,Caymar Offshore Profond,Senegal,Joint Venture Agreement,55.05,1164.6,100.5,-1.0
107,Ultra Deep Offshore (UDO),Senegal,Production or Profit Sharing Agreement,55.05,1164.6,100.5,-1.0
108,"Tender Oil and Gas Casamance, Société des Pétroles du Sénégal, PSA, 2014",Senegal,Production or Profit Sharing Agreement,55.05,1164.6,100.5,-1.0
109,"Rex Atlantic Ltd, Société des Pétroles du Sénégal, PSA, 2013",Senegal,Production or Profit Sharing Agreement,55.05,1164.6,100.5,-1.0
112,"Rufisque Offshore, Sangomar Offshore Profond, Sangomar Offshore",Senegal,Production or Profit Sharing Agreement,55.05,1164.6,100.5,-1.0
113,"African Petroleum Senegal Limited, Société des Pétroles du Sénégal, PSA, 2011",Senegal,Production or Profit Sharing Agreement,55.05,1164.6,100.5,-1.0
114,"Fortesa International Senegal, Société des Pétroles du Sénégal, PSA, 2014",Senegal,Production or Profit Sharing Agreement,55.05,1164.6,100.5,-1.0
116,"Cayar Offshore Profond, Saint Louis Offshore Profond",Senegal,Other,55.05,1164.6,100.5,-1.0
118,"Blackstairs Energy Senegal Limited, Société des Pétroles du Sénégal, PSA, 2013",Senegal,Production or Profit Sharing Agreement,55.05,1164.6,100.5,-1.0
119,"Oranto Petroleum Limited, Société des Pétroles du Sénégal, PSA, 2015",Senegal,Production or Profit Sharing Agreement,55.05,1164.6,100.5,-1.0
120,Rufisque Offshore Profond,Senegal,Production or Profit Sharing Agreement,55.05,1164.6,100.5,-1.0
122,Block CI-708,Cote d'Ivoire,Production or Profit Sharing Agreement,49.42,1337.8,97.3,-1.0
123,Block CI-707,Cote d'Ivoire,Production or Profit Sharing Agreement,49.42,1337.8,97.3,-1.0
124,Block CI-602,Cote d'Ivoire,Production or Profit Sharing Agreement,49.42,1337.8,97.3,-1.0
125,Block 801,Cote d'Ivoire,Production or Profit Sharing Agreement,49.42,1337.8,97.3,-1.0
126,Block Cl-705,Cote d'Ivoire,Production or Profit Sharing Agreement,49.42,1337.8,97.3,-1.0
127,Block Cl-605,Cote d'Ivoire,Production or Profit Sharing Agreement,49.42,1337.8,97.3,-1.0
128,Block 401,Cote d'Ivoire,Production or Profit Sharing Agreement,49.42,1337.8,97.3,-1.0
129,Block 504,Cote d'Ivoire,Production or Profit Sharing Agreement,49.42,1337.8,97.3,-1.0
130,Block Cl-706,Cote d'Ivoire,Production or Profit Sharing Agreement,49.42,1337.8,97.3,-1.0
131,Block CI-603,Cote d'Ivoire,Production or Profit Sharing Agreement,49.42,1337.8,97.3,-1.0
132,Block 802,Cote d'Ivoire,Production or Profit Sharing Agreement,49.42,1337.8,97.3,-1.0
133,"Model Contract, Societe Nationale d'Operations Petroliers de la Cote d'Ivoire, P",Cote d'Ivoire,Production or Profit Sharing Agreement,49.42,1337.8,97.3,-1.0
134,Block CI-526,Cote d'Ivoire,Production or Profit Sharing Agreement,49.42,1337.8,97.3,-1.0
135,Block 501,Cote d'Ivoire,Production or Profit Sharing Agreement,49.42,1337.8,97.3,-1.0
136,"Agip Recherches Congo, Nationale de Recherches et d'Exploitation Pétrolières ""Hy",Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
137,"Zetah, PSA, 1996",Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
138,Offshore,Republic of Congo,Joint Venture Agreement,60.65,859.0,186.9,-1.0
139,"Kombi Likalala Libondo, Tchibéli Litanzi Loussima",Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
140,Haute Mer C,Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
141,Pointe-Noire Grands Fonds,Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
142,Pointe Noire Grand Fonde,Republic of Congo,Contract Annex,60.65,859.0,186.9,-1.0
143,Kouakouala,Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
144,"Elf Congo, Agip Recherches Congo, Annex, PSA, 1995",Republic of Congo,Contract Annex,60.65,859.0,186.9,-1.0
145,Marine III,Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
146,Haute Mer A,Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
147,"Agip Recherches Congo, Société Nationale de Recherches et d'Exploitation Pétroli",Republic of Congo,Contract Annex,60.65,859.0,186.9,-1.0
148,Madingo Maritime,Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
149,Mer tres profonde Nord,Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
150,Pointe Indienne,Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
151,"Société Nationale des Pétroles du Congo, Hemla E&P Congo, Africa Oil and Gas Cor",Republic of Congo,Contract Amendment,60.65,859.0,186.9,-1.0
152,"Société Nationale des Pétroles du Congo, Total E&P Congo, ENI Congo S.A, Africa ",Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
153,"Société Nationale des Pétroles du Congo, Prestoil Kouilou, PSA, 2005",Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
154,Mer tres profonde nord,Republic of Congo,Contract Amendment,60.65,859.0,186.9,-1.0
155,Kombi Likalala Libondo,Republic of Congo,PSC,60.65,859.0,186.9,-1.0
156,"Elf Congo, Agip Recherches Congo, Amendment, PSA, 1998",Republic of Congo,Contract Amendment,60.65,859.0,186.9,-1.0
157,"Zetah, Annex, PSA, 1996",Republic of Congo,Contract Annex,60.65,859.0,186.9,-1.0
158,Tchibeli-Litanzi II,Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
159,Marine IX,Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
160,Marine XI,Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
161,Marine XIII,Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
162,Ngoki,Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
163,Mer Profonde Sud,Republic of Congo,Contract Amendment,60.65,859.0,186.9,-1.0
165,"Société Nationale des Pétroles du Congo, ENI Congo S.A, Africa Oil and Gas Corpo",Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
166,Nsoko II,Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
167,Tchibouela II,Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
168,Noumbi,Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
169,Kayo,Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
170,Marine XXVIII,Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
171,Sounda,Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
172,Mengo-Kundji-Bindi,Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
173,Marine XX,Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
174,Mer Profonde Nord,Republic of Congo,Contract Amendment,60.65,859.0,186.9,-1.0
175,"Heritage Oil and Gas Limited, Tacoma Limited, Zetah Oil Company Limited, PSA, 19",Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
177,Moho Bilondo,Republic of Congo,Contract Amendment,60.65,859.0,186.9,-1.0
178,Moho Nord,Republic of Congo,Concession Agreement,35.59,2198.2,,-1.0
179,"Marine VI, Marine VII, Kitina",Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
180,"Société Nationale des Pétroles du Congo, Perenco Congo SA, Hemla E&P Congo, Afri",Republic of Congo,Contract Amendment,60.65,859.0,186.9,-1.0
181,"Société Nationale des Pétroles du Congo, ENI Congo S.A, PSA, 2013",Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
182,Marine XII,Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
183,Mer tres profonde sud,Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
185,Marine IV,Republic of Congo,PSC,60.65,859.0,186.9,-1.0
186,Tchendo II,Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
187,Marine XXVII,Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
188,Mengo-Kundji-Bindi II,Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
189,Mokelembembe,Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
190,"SNPC, Perenco Congo S.A, Petro Congo S.A, Yombo Masseko, PSA, 2015",Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
191,Marine VI Bis,Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
192,Nanga I,Republic of Congo,Production or Profit Sharing Agreement,60.65,859.0,186.9,-1.0
193,"Etat Gabonais, CNOOC, Document Summary, 2016",Gabon,Document Summary,60.63,862.0,198.1,-1.0
194,"Assala Gabon, RGA, Document Summary, 2019-1",Gabon,Document Summary,60.63,862.0,198.1,-1.0
195,"Assala Gabon, RGA, Document Summary, 2019-2",Gabon,Document Summary,60.63,862.0,198.1,-1.0
196,"Maurel & Prom Gabon, Document Summary, 2021-1",Gabon,Document Summary,60.63,862.0,198.1,-1.0
197,"Vaalco Gabon (Etame), Inc., Amendment, PSA, 2012",Gabon,Contract Amendment,60.63,862.0,198.1,-1.0
198,"Etat Gabonais, Perenco Exploration Gabon, Document Summary, 2019-4",Gabon,Document Summary,60.63,862.0,198.1,-1.0
199,"Assala Gabon, RGA, Document Summary, 2019-4",Gabon,Document Summary,60.63,862.0,198.1,-1.0
200,"Maurel & Prom Gabon, Document Summary, 2021",Gabon,Document Summary,60.63,862.0,198.1,-1.0
201,"Vaalco Gabon (Etame), Inc., Amendment, PSA, 2009",Gabon,Contract Amendment,60.63,862.0,198.1,-1.0
202,"Etat Gabonais, Indian Oil Corporation Limited, Document Summary, 2018",Gabon,Document Summary,60.63,862.0,198.1,-1.0
203,"Etat Gabonais, Perenco Exploration Gabon, Document Summary, 2019-2",Gabon,Document Summary,60.63,862.0,198.1,-1.0
204,"SNH, BWEGSA, PAN Petroleum Gabon, Tullow Oil, Document Summary, 2023",Gabon,Document Summary,60.63,862.0,198.1,-1.0
205,"Etat Gabonais, PC Gabon Upstream, Document Summary, 2018",Gabon,Document Summary,60.63,862.0,198.1,-1.0
206,"Assala Gabon, PERENCO, RGA, Document Summary, 2019",Gabon,Document Summary,60.63,862.0,198.1,-1.0
207,"Assala Gabon, SOOGLG, RGA, Document Summary, 2019",Gabon,Document Summary,60.63,862.0,198.1,-1.0
208,"Etat Gabonais, GOC, Document Summary, 2022",Gabon,Document Summary,60.63,862.0,198.1,-1.0
209,"Assala Gabon, RGA, Document Summary, 2019",Gabon,Document Summary,60.63,862.0,198.1,-1.0
210,"Vaalco Gabon (Etame) Inc., PSA, 1995",Gabon,Production or Profit Sharing Agreement,60.63,862.0,198.1,-1.0
211,"Vaalco Gabon (Etame), Inc., Amendment, PSA, 2006",Gabon,Contract Amendment,60.63,862.0,198.1,-1.0
212,"Model Contract, PSA, 2019",Gabon,PSC,60.63,862.0,198.1,-1.0
213,"Etat Gabonais, Perenco Exploration Gabon, Document Summary, 2019-3",Gabon,Document Summary,60.63,862.0,198.1,-1.0
214,"Etat Gabonais, Perenco Exploration Gabon, Document Summary, 2019-1",Gabon,Document Summary,60.63,862.0,198.1,-1.0
215,"Vaalco Gabon (Etame), Inc., Amendment, PSA, 2001",Gabon,Contract Amendment,60.63,862.0,198.1,-1.0
216,Diaba,Gabon,Production or Profit Sharing Agreement,60.63,862.0,198.1,-1.0
217,"Assala Gabon, RGA, Document Summary, 2019-3",Gabon,Document Summary,60.63,862.0,198.1,-1.0
218,"Etat Gabonais, Perenco Exploration Gabon, Document Summary, 2019",Gabon,Document Summary,60.63,862.0,198.1,-1.0
219,"Maurel & Prom Gabon, GOC, Tullow Oil, Document Summary, 2021",Gabon,Document Summary,60.63,862.0,198.1,-1.0
220,"Etat Gabonais, GOC, Document Summary, 2016",Gabon,Document Summary,60.63,862.0,198.1,-1.0
221,"Exploration Area 3A (""EA3A"")",Uganda,Production or Profit Sharing Agreement,70.14,330.6,134.4,-1.0
223,"Model Contract, PSA, 1999",Uganda,Production or Profit Sharing Agreement,70.14,330.6,134.4,-1.0
224,Area 1,Uganda,Production or Profit Sharing Agreement,70.14,330.6,134.4,-1.0
225,Kanywataba Prospect Area,Uganda,Production or Profit Sharing Agreement,70.14,330.6,134.4,-1.0
226,"Model Contract, PSA, 2015",Uganda,Production or Profit Sharing Agreement,70.14,330.6,134.4,-1.0
227,Block 2B,Kenya,Production or Profit Sharing Agreement,68.36,390.0,180.8,-1.0
228,"Model Contract, PSA, 2008",Kenya,PSC,68.36,390.0,180.8,-1.0
229,Block 11A,Kenya,PSC,68.36,390.0,180.8,-1.0
230,"Model Contract, PSA, 2013",Kenya,PSC,68.36,390.0,180.8,-1.0
231,Block L16,Kenya,Production or Profit Sharing Agreement,68.36,390.0,180.8,-1.0
232,"Model Contract, PSA, 2010",Kenya,Production or Profit Sharing Agreement,68.36,390.0,180.8,-1.0
233,Block 11A,Kenya,Production or Profit Sharing Agreement,68.36,390.0,180.8,-1.0
234,"Model Contract, PSA, 2015",Kenya,PSC,68.36,390.0,180.8,-1.0
235,Block L27,Kenya,Production or Profit Sharing Agreement,68.36,390.0,180.8,-1.0
236,Block 11A,Kenya,Contract Annex,68.36,390.0,180.8,-1.0
237,Block 1,Kenya,Production or Profit Sharing Agreement,68.36,390.0,180.8,-1.0
238,Block L1B,Kenya,Production or Profit Sharing Agreement,68.36,390.0,180.8,-1.0
239,L28,Kenya,Production or Profit Sharing Agreement,68.36,390.0,180.8,-1.0
240,"Model Contract, PSA, 1986",Kenya,PSC,68.36,390.0,180.8,-1.0
241,"Model Contract, Concession, 1973",Ethiopia,Concession Agreement,24.22,1858.5,,-1.0
242,"Model Contract, PSA, 2011",Ethiopia,Production or Profit Sharing Agreement,63.78,543.9,497.2,-1.0
243,"Model Contract, PSA, 1986",Ethiopia,Production or Profit Sharing Agreement,63.78,543.9,497.2,-1.0
244,"Model Contract, PSA, 1994",Ethiopia,Production or Profit Sharing Agreement,63.78,543.9,497.2,-1.0
245,"Coastal Zone B Block 4, Zone B Block 5",Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
246,Côtier Block 6,Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
247,Taoudeni Block Ta-7,Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
248,"Coutier Blocs(24,31)",Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
249,Bloc 32,Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
250,Block C18,Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
251,Block C31,Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
252,Block C13,Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
253,"Kosmos Energy Mauritania, Block C12, PSA, 2012",Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
254,Block 11,Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
255,Côtier Block 7,Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
256,Taoudeni Block Ta-9,Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
257,Block C7,Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
258,Taoudenni Bloc Ta11,Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
259,"Kosmos Energy Mauritania, Block C8, PSA, 2012",Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
260,Block C6,Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
261,"BP, Kosmos Energy Mauritania, SMH, PSA, 2023",Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
262,Taoudenni Bloc Ta13,Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
263,"Taoudeni Block Ta-2, Block Ta-19, Block Ta-27, Block Ta-69, and Block Ta-71",Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
264,"BP, Kosmos Energy Mauritania, SMH, PSA, 2019",Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
265,Taoudeni Block Ta-6,Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
266,Bloc Ta12,Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
267,Taoudenni Blocs Ta(14-36-37),Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
268,Taoudeni Block Ta-8,Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
269,Block C15,Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
270,"Model Contract, Exploration, 2011",Mauritania,Exploration Permit/License,52.18,1405.4,122.2,-1.0
271,"Taoudeni Block Ta-1, Block Ta-30, Block Ta-31, and Block Ta-35",Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
272,Taoudeni Block Ta-10,Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
273,Taoudenni Blocs Ta(26-61-62-63),Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
274,Bloc 25,Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
275,Taoudenni Bloc Ta21,Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
277,"Dana Petroleum (E & P) Limited, Hardman Petroleum (Mauritania) Pty Ltd., Elixir ",Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
278,Block C12,Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
279,Block C8,Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
280,"Kosmos Energy Mauritania, Block C13, PSA, 2012",Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
281,Taoudeni Block Ta-5,Mauritania,Production or Profit Sharing Agreement,52.18,1405.4,122.2,-1.0
